AUDITUSER,AUDITTIMESTAMP,GROUPID,USERID,ACCESSLEVEL
---------,--------------,-------,------,-----------
NULL,NULL,1,10456,1
NULL,NULL,1,10463,1
NULL,NULL,1,10541,1
