AUDITUSER,AUDITTIMESTAMP,ID,NAME,DESCRIPTION,COMPOSITE,STORE_RESULTS_AT,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9
---------,--------------,--,----,-----------,---------,----------------,---,---,---,---,---,---,---,---,---
NULL,"2025-08-27 11:05:54.080",1,Grab,NULL,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,"2025-08-27 11:05:54.080",2,Composite,NULL,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
