AUDITUSER,AUDITTIMESTAMP,ID,TYPENAME,ISLINKED,CALC
---------,--------------,--,--------,--------,----
NULL,"2025-08-27 11:05:49.827",1,Dup,NULL,NULL
NULL,"2025-08-27 11:05:49.830",2,Spike,NULL,NULL
