AUDITUSER,AUDITTIMESTAMP,ID,SAMPLENUM,SAMPLEDEFID,PROJECT,LOCATIONID,DATECOLLECTIONDUE,DATECOMPLETE,SAMPLEDBY,SAMPLEDTTIME,RECTYPE,SCHEDULETYPE,SAMPLESTATUS,SAMPLETYPEID,PH,TEMP,DO,NOTES,WASITPRINTED,SAMPLECOST,MISCCOST,TOTALCOST,CUSTOMERID,SAMPLEUD1,SAMPLEUD2,SAMPLEUD3,SAMPLEUD4,SAMPLEUD5,PARENTID,ASSIGNEDTOID,RECEIVEDBY,RECEIVED_DATETIME,LABID,SAMPLEVOLUME,PICKUPCOST,PREPCOST,TOTALTESTCOST,DISCOUNT,TAXRATE,SAMPLEUD6,SAMPLEUD7,SAMPLEUD8,SAMPLEUD9,PAYMENT,PAYMENTTYPE,PAYMENTNOTES,REJECTIONCODE,SAMPLENAME,SAMPLEDBYNAME,RCVDBYNAME,SAMPLELOCATION,ADHOC,LATEEMAILSENT,DUEEMAILSENT,ISCOMPLIANCE,LATERESULTEMAILSENT,NORESULTEMAILSENT
NARANJODL,"2025-09-08 12:34:39.000",83,251201-0015,25,NULL,119,"2025-12-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-08 12:34:39.000",84,260302-0020,25,NULL,119,"2026-03-02 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-08 12:34:39.000",85,260601-0015,25,NULL,119,"2026-06-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-08 12:38:53.000",86,250901-0020,26,NULL,120,"2025-09-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-08 12:38:53.000",87,251201-0016,26,NULL,120,"2025-12-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-08 12:38:53.000",88,260302-0021,26,NULL,120,"2026-03-02 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-08 12:38:54.000",89,260601-0016,26,NULL,120,"2026-06-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-08 12:43:04.000",90,250901-0021,27,NULL,121,"2025-09-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-08 12:43:04.000",91,251201-0017,27,NULL,121,"2025-12-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-08 12:43:05.000",92,260302-0022,27,NULL,121,"2026-03-02 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-08 12:43:05.000",93,260601-0017,27,NULL,121,"2026-06-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-08 12:46:05.000",94,250901-0022,28,NULL,122,"2025-09-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 13:17:47.000",8,260706-0001,3,NULL,102,"2026-07-06 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 13:21:21.000",9,251201-0002,4,NULL,103,"2025-12-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 13:21:21.000",10,260302-0002,4,NULL,103,"2026-03-02 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 13:21:22.000",11,260601-0002,4,NULL,103,"2026-06-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 13:30:50.000",12,250901-0002,5,NULL,104,"2025-09-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 13:30:51.000",13,251201-0003,5,NULL,104,"2025-12-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 13:30:51.000",14,260302-0003,5,NULL,104,"2026-03-02 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 13:30:51.000",15,260601-0003,5,NULL,104,"2026-06-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 13:50:02.000",18,250901-0004,8,NULL,105,"2025-09-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 13:50:02.000",19,251201-0004,8,NULL,105,"2025-12-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
