AUDITUSER,AUDITTIMESTAMP,RECORDER,COLNAME,COLHIDE,COLWIDTH
---------,--------------,--------,-------,-------,--------
NULL,NULL,0,"Var #",0,855
NULL,NULL,1,Type,0,645
NULL,NULL,2,"Var Name",0,3465
NULL,NULL,3,Heading,0,1125
NULL,NULL,4,Location,0,1875
NULL,NULL,5,"Storet #",0,0
NULL,NULL,6,Description,0,1995
NULL,NULL,7,"Signal Tag",0,0
NULL,NULL,8,Units,0,1140
