AUDITUSER,AUDITTIMESTAMP,EGROUPID,USERID,ACCESSLEVEL
OPSSYS_BD,"2024-02-19 14:00:00.440",3,50,2
OPSSYS_BD,"2024-02-19 14:00:00.440",1,59,2
OPSSYS_BD,"2024-02-19 14:00:00.443",2,59,2
OPSSYS_BD,"2024-02-19 14:00:00.443",3,59,2
OPSSYS_BD,"2024-02-19 14:00:00.447",1,60,2
OPSSYS_BD,"2024-02-19 14:00:00.447",2,60,2
OPSSYS_BD,"2024-02-19 14:00:00.450",3,60,2
OPSSYS_BD,"2024-02-19 14:00:00.450",1,70,2
OPSSYS_BD,"2024-02-19 14:00:00.450",2,70,2
OPSSYS_BD,"2024-02-19 14:00:00.450",3,70,2
OPSSYS_BD,"2024-02-19 14:00:00.453",1,72,2
OPSSYS_BD,"2024-02-19 14:00:00.453",2,72,2
OPSSYS_BD,"2024-02-19 14:00:00.453",3,72,2
OPSSYS_BD,"2024-02-19 14:00:00.457",1,77,2
OPSSYS_BD,"2024-02-19 14:00:00.457",2,77,2
OPSSYS_BD,"2024-02-19 14:00:00.460",3,77,2
OPSSYS_BD,"2024-02-19 14:00:00.460",1,78,2
OPSSYS_BD,"2024-02-19 14:00:00.460",2,78,2
OPSSYS_BD,"2024-02-19 14:00:00.463",3,78,2
OPSSYS_BD,"2024-02-19 14:00:00.463",1,79,2
OPSSYS_BD,"2024-02-19 14:00:00.463",2,79,2
OPSSYS_BD,"2024-02-19 14:00:00.467",3,79,2
OPSSYS_BD,"2024-02-19 14:00:00.467",1,85,2
OPSSYS_BD,"2024-02-19 14:00:00.467",2,85,2
OPSSYS_BD,"2024-02-19 14:00:00.470",3,85,2
OPSSYS_BD,"2024-02-19 14:00:00.470",1,86,2
OPSSYS_BD,"2024-02-19 14:00:00.470",2,86,2
OPSSYS_BD,"2024-02-19 14:00:00.473",3,86,2
OPSSYS_BD,"2024-02-19 14:00:00.473",1,90,2
OPSSYS_BD,"2024-02-19 14:00:00.473",2,90,2
OPSSYS_BD,"2024-02-19 14:00:00.477",3,90,2
OPSSYS_BD,"2024-02-19 14:00:00.477",1,92,2
OPSSYS_BD,"2024-02-19 14:00:00.480",2,92,2
OPSSYS_BD,"2024-02-19 14:00:00.480",3,92,2
OPSSYS_BD,"2024-02-19 14:00:00.480",1,97,2
OPSSYS_BD,"2024-02-19 14:00:00.480",2,97,2
OPSSYS_BD,"2024-02-19 14:00:00.483",3,97,2
OPSSYS_BD,"2024-02-19 14:00:00.483",1,263,2
