DT,LASTNUM
--,-------
"2025-09-01 00:00:00.000",49
"2025-12-01 00:00:00.000",44
"2026-03-02 00:00:00.000",50
"2026-06-01 00:00:00.000",44
"2025-10-06 00:00:00.000",6
"2026-01-05 00:00:00.000",6
"2026-04-06 00:00:00.000",6
"2025-02-03 00:00:00.000",1
"2025-08-04 00:00:00.000",1
"2026-02-02 00:00:00.000",12
"2026-05-04 00:00:00.000",14
"2025-11-03 00:00:00.000",10
"2025-05-05 00:00:00.000",1
"2026-07-06 00:00:00.000",6
