AUDITUSER,AUDITTIMESTAMP,PARAMETER,CURVALUE
---------,--------------,---------,--------
NULL,NULL,Sour,0.67024552225001699
NULL,NULL,ERate,7.2058091823658799E-2
NULL,NULL,SolidsYield,0.58568768910720304
NULL,NULL,EDecay,-2.4153490429681099E-2
