AUDITUSER,AUDITTIMESTAMP,ID,STATUS,DESCRIPTION,COLOR1
---------,--------------,--,------,-----------,------
NULL,"2024-02-19 14:00:06.670",1,0,CLOSED,0
NULL,"2024-02-19 14:00:06.670",2,-32768,OPEN,0
