AUDITUSER,AUDITTIMESTAMP,ID,VARORDER,VARID,COLWIDTH,HDRBACKCOLOR,HDRFORECOLOR,COLBACKCOLOR,COLFORECOLOR,COLTYPE,FACILITYFILENAME
NULL,NULL,24,46,64,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,47,65,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,48,-9999,4.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,49,66,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,50,67,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,51,68,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,52,-9999,4.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,53,69,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,54,70,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,55,71,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,56,-9999,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,57,115,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,72,6,1280,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,7,1281,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,8,1282,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,10,1284,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,12,1286,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,13,1287,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,14,1288,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,15,1289,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,16,1290,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,17,1291,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,18,1292,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,19,1293,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,20,1295,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,21,1296,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,22,1297,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,23,1298,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,24,1299,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,25,1300,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,26,1301,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,27,1302,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,28,1303,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,29,1304,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,30,1306,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,31,1307,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,32,1309,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,33,1312,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,34,1322,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,35,1323,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,36,1324,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,37,1325,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,53,-1000,-1000,21.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,53,-999,-999,21.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,53,-998,-998,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,53,-997,-997,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,53,0,0,5.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,53,1,101,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,53,2,99,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,53,3,100,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,-1000,-1000,21.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,62,-999,-999,21.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,62,-998,-998,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,62,-997,-997,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,62,0,0,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,1,103,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,2,104,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,3,105,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,4,-9999,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,5,18,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,6,20,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,7,23,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,8,-9999,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,9,28,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,10,29,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,11,30,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,12,-9999,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,13,31,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,62,14,-9999,-1.0,-1,-1,NULL,NULL,NULL,NULL
