AUDITUSER,AUDITTIMESTAMP,VARID,STARTDATE,QC_UCL,QC_LCL,QC_MEAN,QC_UWL,QC_LWL,NOTES
---------,--------------,-----,---------,------,------,-------,------,------,-----
RUSTAF,"2024-07-09 12:44:34.000",21,"2020-01-01 00:00:00.000",1681.3,NULL,NULL,NULL,NULL,NULL
RUSTAF,"2024-07-09 12:43:10.000",24,"2020-01-01 00:00:00.000",90.0,NULL,NULL,50.0,NULL,NULL
